"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2581","RT @kamaalrkhan: One of the top construction company of UAE #Arabtec which built #BurjKhalifa is closed because of #coronavirus and 20 thou…",FALSE,0,NA,2020-10-19 17:45:22,FALSE,NA,"1318246877985296384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","san678",45,TRUE,FALSE,NA,NA
"2582","@AamAadmiParty But #corona was out of syllabus.",FALSE,1,"AamAadmiParty",2020-10-19 17:31:54,FALSE,"1318241678168260608","1318243488861876224","711694309","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abha98011112",0,FALSE,FALSE,NA,NA
"2583","Navi Mumbai Corona News: 205 New Cases in Navi Mumbai, 2767 Active Cases - Navi Mumbai News Network
#NaviMumbai… https://t.co/jh530KWULC",FALSE,7,NA,2020-10-19 17:30:19,TRUE,NA,"1318243091531390977",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NaviMumbaiNet",0,FALSE,FALSE,NA,NA
"2584","RT @DrPalakVermaINC: It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution in Delhi.…",FALSE,0,NA,2020-10-19 17:28:50,FALSE,NA,"1318242719857168384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThakurArsh_",27,TRUE,FALSE,NA,NA
"2585","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 17:21:34,FALSE,NA,"1318240890771566594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ragini26sep",110,TRUE,FALSE,NA,NA
"2586","RT @dsureshkumar: Here is the Tamil Nadu #COVID19 Update for today (October 19). 

#Corona https://t.co/2l0TKwsVJQ",FALSE,0,NA,2020-10-19 17:17:44,FALSE,NA,"1318239923359526913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karthik65851649",10,TRUE,FALSE,NA,NA
"2587","RT @Bloodpointorg: #Mumbai #SOS #COVID19India
Need #O+ve Blood #plasma from #covidrecovery  patient
Illness #Corona
At Sanjeevani Hospital,…",FALSE,0,NA,2020-10-19 17:17:41,FALSE,NA,"1318239912110403584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrAmitavaDas",9,TRUE,FALSE,NA,NA
"2588","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need A1+ve/A+ve #blood #plasma from #covidrecovery  patient
Illness #Corona
At Apollo banj…",FALSE,0,NA,2020-10-19 17:16:30,FALSE,NA,"1318239615480856576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrAmitavaDas",6,TRUE,FALSE,NA,NA
"2589","RT @navgujaratsamay: Gujarat Coronavirus Latest Updates
#coronaupdate #corona #gujarat #navgujaratsamay #ahmedabad #IndiaVSCorona<U+0001F62C> #suratup…",FALSE,0,NA,2020-10-19 17:12:33,FALSE,NA,"1318238619883106304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RAJPUROHITJAG24",1,TRUE,FALSE,NA,NA
"2590","RT @kamaalrkhan: Public came to know the reality of Canadian #Akki during this #Corona disaster time. Aur Jo Public Ko Abtak Jhoothi Deshbh…",FALSE,0,NA,2020-10-19 17:09:25,FALSE,NA,"1318237833467842561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Harshit19918456",128,TRUE,FALSE,NA,NA
"2591","RT @kamaalrkhan: Public came to know the reality of Canadian #Akki during this #Corona disaster time. Aur Jo Public Ko Abtak Jhoothi Deshbh…",FALSE,0,NA,2020-10-19 17:07:02,FALSE,NA,"1318237231870439424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SantuKu62515443",128,TRUE,FALSE,NA,NA
"2592","RT @Bloodpointorg: #Hyderabad #SOS #COVID19India
Need A1+ve/A+ve #blood #plasma from #covidrecovery  patient
Illness #Corona
At Apollo banj…",FALSE,0,NA,2020-10-19 17:04:00,FALSE,NA,"1318236467064303616",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PulikantiGreesh",6,TRUE,FALSE,NA,NA
"2593","RT @DeepaRa77197918: I didn't think I would have to share it again but unfortunately conditions are same.
please ""Ambe Maa"" have mercy on u…",FALSE,0,NA,2020-10-19 17:03:49,FALSE,NA,"1318236421421891584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gopalyadav4695",2,TRUE,FALSE,NA,NA
"2594","RT @DrPalakVermaINC: It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution in Delhi.…",FALSE,0,NA,2020-10-19 17:03:17,FALSE,NA,"1318236290547019779",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Panneyposana",27,TRUE,FALSE,NA,NA
"2595","RT @TheVijayKedia: Incredible India!!
Medical team &amp; #Corona #Warriors are celebrating #garba2020 for happiness of #patients of #COVID19 Ce…",FALSE,0,NA,2020-10-19 17:03:06,FALSE,NA,"1318236244497682432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VIVEKSINGHANIA2",37,TRUE,FALSE,NA,NA
"2596","RT @Bloodpointorg: #Mumbai  #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At trauma hospital , #…",FALSE,0,NA,2020-10-19 17:00:20,FALSE,NA,"1318235544791416835",NA,"<a href=""https://sootigaa.com"" rel=""nofollow"">Tweet Good</a>","corona_alerts",5,TRUE,FALSE,NA,NA
"2597","Tag your garba partners <U+0001F97A><U+0001F494>
.
.
#chhattishgarh #chhattisgarh<U+0001F60D> #navratri #corona #covid19 #2020 #navratri2020 #garba… https://t.co/rMLFWOUyLx",FALSE,1,NA,2020-10-19 16:55:21,TRUE,NA,"1318234291000668160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheDesiHeart",0,FALSE,FALSE,NA,NA
"2598","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 16:53:28,FALSE,NA,"1318233820118708225",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sanjaysumi18",110,TRUE,FALSE,NA,NA
